REF_ID;PUB_TYPE;REFERENCE
REF119;Article;"Decanini, D. E.; and Macedo, R. 2008. Sociality in Callithrix penicillata: II. Individual Strategies During Intergroup Encounters. International Journal of Primatology, 29:627-639."
REF120;Article;"Decanini, D.; and Macedo, R. 2008. Sociality in Callithrix penicillata: I. Intragroup Male Profile.International Journal of Primatology, 29:433-447."
REF121;Article;Delciellos, A. C. 2016. Mammals of four Caatinga areas in northeastern Brazil: inventory, species biology, and community structure. Check List, 12(3):1916.
REF122;Article;"Detogne, N.; Ferreguetti, A. C.; Mello, J. H. F.; Santana, M. C.; Dias, A. C.; Motta, N. C. J.; Gonçalves, A. E. C; Souza, C. P.; and Bergallo, H. G. 2017. Spatial distribution of buffy-tufted-ear (Callithrix aurita) and invasive marmosets (Callithrix spp.) in a tropical rainforest reserve in southeastern Brazil. American Journal of Primatology, 79:1-11."
REF123;Article;"Di Bitetti, M. S.; Di Blanco, Y. E.; Pereira, J. A.; Paviolo, A.; and Jimenez-Perez, I. 2009. Time partitioning favors the coexistence of sympatric crab-eating fox (Cerdocyon thous) and pampas fox (Lycalopex gymnocercus). Journal of Mammalogy, 90:479-490."
REF124;Article;"Dias, D. M.; and Bocchilgieri, A. 2016. Riqueza e uso do habitat por mamiferos de medio e grande porte na Caatinga, nordeste do Brazil. Neotropical Biology and Conservation, 11(1):38-46."
REF125;Article;"Dias, R. A., Chaves, R. O., Souza, G. O.; Gonçales, A. P.; Ikuta, C. Y.; Morais, Z. M.;Marcili, A.; Ferreira, F.; Amaku, M.; Neto, J. S. F.; and Vasconcellos, S. A. 2011. Exotic Rodent species in one South Atlantic Ocean island: house mouse (Mus musculus) infestation in Trindade Island, Brazil. Veterinaria Italiana. Collana di Monografie, Monografia 23:81-92. "
REF126;Article;"Dias, R. A.; Abrahao, C. R.; Micheletti, T.; Mangini, P. R.; Gasparotto, V. P. O.; Pena, H. F. J.; Ferreira, F.; Russell, J. C.; and Silva, J. C. R. 2017. Prospects for domestic and feral cat management on an inhabited tropical island. Biological Invasions, 19 (8):2339-2353. "
REF127;Web site ;Division of Mammals, Museum of Southwestern Biology (MSB). Accessed through GBIF data portal ,<https://www.unmfund.org/fund/museum-of-southwestern-biology-mammal-division/>
REF128;Article;"Donadio, E.; Pauli, J. N.; and Bonino, N. 2005. A method to estime body mass and relative age of exotic logoorphs in the southern Neotropics. Acta theriologica, 50(1):81-89."
REF129;Article;"Donatti, C. I.; Guimarães, P. R.; Galetti, M.; Pizo, M. A.; Marquitti, F. M. D.; and Dirzo, R. 2011. Analysis of a hyper-diverse seed dispersal network: modularityand underlying mechanisms. Ecology Letters, 14:773–781."
REF130;Article;"Donatti, C.I., Guimarães Jr., P.R.; & Galetti, M. 2009. Seed dispersal and predation in the endemic Atlantic Forest palm Astrocaryum aculeatissimum across a gradient of seed disperser abundance. Ecological Research, 24:1187–1195."
REF131;Technical document;"Duarte, M. M.; and Bencke, G. A. 2008. Plano de manejo da Estação Ecológica Estadual de Aratinga. "
REF132;Article;"Ebensperger, L. A.; Mella, J. E.; and Simonetti, J. A. 1991. Trophic-Niche Relationship among Galictis cuja, Dusicyon culpaeus, and Tyto alba in Central Chile. Journal of Mammalogy, 72:820-823. "
REF133;Article;"Espinosa, C. C.; Galiano, D.; Kubiak, B. B.; and Marinho, J. R. 2016. Medium- and large-sized mammals in a steppic savanna area of the Brazilian Pampa: survey and conservation issues of a poorly known fauna. Brazilian Journal of Biology, 76 (1):73-79."
REF134;Article;"Fabian, M. E.; and Zilio, F. 2004. Inventário preliminar da fauna de mamíferos da área de influência dos arroios Itapua e Amoras, município de Viamao, Rio Grande do Sul, Brazil. Revista Brazileira de Biociências, 2 (2):69-76."
REF135;Article;"Fardi, S.; Sauther, M. L.; Cuozzo, F. P.; Jacky, I. A. Y.; and Bernstein, R. M. 2017. The effect of extreme weather events on hair cortisol and body weight in a wild ring?tailed lemur population (Lemur catta) in southwestern Madagascar. American Journal of Primatology, 80:1-16.
"
REF136;Book;Faria, D. S. 1986. Tamanho, composição de um grupo social e a área de vivência (home-range) do sagui Callithrix jacchus penicillata na mata ciliar do corrego Capetinga, Brazilia, DF. In: Mello, M. T. (ed.). A primatologia no Brazil 2. Sociedade Brazileira de Primatologia, 87-105. Brazilia.
REF137;Article;"Faria, G. M. M.; Rosa, C. A.; Correa, G. L. C.; Puertas, F.; Jimenez, K. M. O.; Perillo, L. N.; Hufnagel, L.; Leles, B.; Paula, R. C.; Rodriques, F. H. G; and Passamani, M. 2015. Geographic Distribution of the European hare (Lepus europaeus) in Brazil and new records of occurrence for the Cerrado and Atlantic Forest biomes. Mammalia, 80 (5):497-505. "
REF138;Article;"Fasola, L.; and Valenzuela, A. E. J. 2014. Invasive carnivores in Patagonia: defining priorities for their management using the American mink (Neovison vison) as a case study.  Ecología austral, 24 (2):173-182."
REF139;Article;"Fasola, L.; Bello, M.; and Guichon, M. L. 2005. Uso de trampas de pelo y caracterizacion de los pelos de la ardilla de vientre rojo. Mastozoologia Neotropical, 12 (1):9-17."
REF140;Article;"Faulkes, C. G.; Arruda, M. F.; and Monteiro da Cruz, M. A. O. 2003. Matrilineal genetic structure within and among populations of the cooperatively breeding common marmoset, Callithrix jacchus. Molecular Ecology, 12 (4):1101-1108."
REF141;Article;"Ferrari, S. E.; and Mendes, R. 2011. Do snakes represent the principal predatory threat to callitrichids? Fatal attack of a viper (Bothrops leucurus) on a common marmoset (Callithrix jacchus) in the Atlantic Forest of the Brazilian Northeast. Primates, 52:207-209."
REF142;Congress abstract;"Ferreira, S. B.; Stumpf, P. P.; Colombo, P.; Mahler Jr., J. K. F.; Focchi, S. S.; Castro, F. L. 2005. Diagnóstico preliminar das espécies exóticas invasoras nas unidades de conservação do Rio Grande do Sul, inseridas no projeto de conservação da Mata Atlântica. In: Anais do Simpósio Brasileiro Sobre Espécies Exóticas Invasoras."
REF143;Article;"Fiorenza, L.; and Bruner, E. 2017. Cranial shape variation in adult howler monkeys (Alouatta seniculus). American Journal of Primatology, 80:1-19.
"
REF144;Article;Flueck, W. T. 2004. Observations of interactions between Puma, Puma concolor, and introduced European Red Deer, Cervus elaphus, in Patagonia. Canadian Field-Naturalist 118:132-134.
REF145;Article;"Fornitano, L.; Angeli, T.; Costa, R. T.; Olifiers, N.; and Bianchi, R. C. 2015. Medium to large-sized mammals of the Biological Reserve Augusto Ruchi, Sao Paulo state, Brazil. Oecologia Australis, 19(1):232-243."
REF146;Article;"Fracassi, N.G.; Moreyra, P.A.; Lartigau, B.; Teta, P.; Lando, R.; and Pereira, J. 2010. Nuevas especies de mamiferos para el Bajo Delta del Parana y bajios riberenos adyacentes, Buenos Aires, Argentina. Mastozoologia Neotropical, 17 (2):367-373."
REF147;Article;"Francisco, T. M.; Couto, D. R.; Silva, I. O.; Pacheco, C. M.; and Boere, V. 2016. Aquisicao de exsudatos por saguis na mata atlantica: influencia dos dados dendrometricos de arvores gomiferas. Enciclopedia Biosfera, 13 (24):1111-1123.       "
REF148;Article;"Franklin, W. L.; Johnson, W. E.; Sarno, R. J.; and Iriarte, J. A. 1999. Ecology of the Patagonia puma Felis concolor patagonica in southern Chile. Biological Conservation, 90(1):33-40."
REF149;Article;"Franquesa?Soler, M.; and Serio?Silva, J. C. 2017. Through the eyes of children: Drawings as an evaluation tool for children's understanding about endangered Mexican primates. American Journal of Primatology, 79:1-12."
REF150;Article;"Fuzessy, L.F.; Silva, I.O.; Malukiewicz, J.; Silva, F.F.R.; Ponzio, M.C.; Boere, V.; and Ackermann, R.R. 2014. Morphological Variation in Wild Marmosets (Callithrix penicillata and C. geoffroyi) and Their Hybrids. Evolutionary Biology, 41:493-493."
REF151;Article;"Galende, G. I.; and Raffaele, E. 2008. Space use of a non-native species, the European hare (Lepus europaeus), in habitats of the southern vizcacha (Lagidium viscacia) in Northwestern Patagonia, Argentina. European Journal of Wildlife Research, 54 (2):299-304."
REF152;Article;"Galetti, M.; Camargo, H.; Siqueira, T.; Keuroghlian, A.; Donatti, C. I.; Jorge, M. L. S. P.; Pedrosa, F.; Kanda, C. Z.; and Ribeiro, M. C. 2015. Diet Overlap and Foraging Activity between Feral Pigs and Native Peccaries in the Pantanal.  Plos One, 10 (11):e0141459."
REF153;Article;"Galiano, D.; Kubiak, B. B. ; MARINHO, J. R. ; and FREITAS, T. R. O. 2013. Population dynamics of Akodon montensis and Oligoryzomys nigripes in an Araucaria forest of Southern Brazil. Mammalia, 77:173-179."
REF154;Article;Gambarotta J.C., Saralegui A. & Gonzalez E.M. 1999. Vertebrados tetrapodos del Refugio de Fauna Laguna de Castillos, Departamento de Rocha. Relevamientos de Biodiversidad, 3: 1-31
REF155;Article;"Garber,P. A. 2017. A decade as Executive Editor of the American Journal of Primatology. American Journal of Primatology, 79: 1.
"
REF156;Data base ;Garcia Mendoza, D. F. 2015. Actualizacion de la base de datos de la Coleccion Regional Durango (Mammalia). Centro Interdisciplinario de Investigacion para el Desarrollo Integral Regional Durango. Instituto Politecnico Nacional. Bases de datos de tejidos SNIB-CONABIO proyecto No. HA002. Mexico, D.F.  Accessed through GBIF data portal <http://www.snib.mx/iptconabio/resource?r=SNIB-HA002-HA0021106F_Corregida-ND>
REF157;Article;"Garcia, G., Vergara, J.; and Lombardi, R. 2011. Genetic characterization and phylogeography of the wild boar Sus scrofa introduced into Uruguay. Genetics and Molecular Biology, 34 (2):329-337"
REF158;Article;"Garcia-Olaechea, A.; and Hurtado, C. M. 2018. Assessment of the current distribution and human perceptions of the Pampas cat Leopardus colocolo in northern Peru and southern Ecuador. Oryx, 52: 587-590."
REF159;Data base ;Global Invasive Species Database. GBIF Occurrence Download. Accessed through GBIF data portal <https://doi.org/10.15468/dl.bw71fo>
REF160;Data base ;"Global Register of Introduced and Invasive Species- Brazil. Accessed through GBIF data portal <ipt.ala.org.au/resource?r=Brazil-griis-gbif&amp;v=1.2>"
REF161;Data paper;"Gonçalves, F.; Bovendorp, R. S.; Beca, G.; Bello, C.; Costa-Pereira, R.; Muylaert, R. L.; Rodarte, R. R.; Villar, N.; Souza, R.; Graipel, M. E.; Cherem, J. J.; Faria, D.; Baumgarten, J.; Alvarez, M. R.; Vieira, E. M.; Cáceres, N.; Pardini, R.; Leite, Y. L. R.; Costa, L. P.; Mello M. A. R.; Fischer, E.; Passos, F. C.; Varzinczak, L. H.; Prevedello, J. A.; Cruz-Neto, A. P.; Carvalho F.; Percequillo, A. R.; Paviolo, A.; Nava, A.; Duarte, J. M. B.; De la Sancha, N. U.; Bernard, E.; Morato, R. G.; Ribeiro, J. F.; Becker, R. G.; Paise, G.; Tomasi, P. S.; Vélez-Garcia, F.; Melo, G. L.; Sponchiado, J.; Cerezer, F.; Barros, M. A. S.; Souza, A. Q. S.; Santos, C. C.; Giné,  G. A. F.; Kerches-Rogeri, P.; Weber, M. M.; Ambar, G.; Cabrera-Martinez, L. V.; Eriksson, A.; Silveira, M.; Santos, C. F.; Alves, L.; Barbier, E.; Rezende, G. C.; Garbino, G. S. T.; Rios, É. O.; Silva, A.; Nascimento, A. T. A.; Carvalho, R. S.; Feijó, A.; Arrabal, J.; Agostini, I.; Lamattina, D.; Costa, S.; Vanderhoeven, E.; Melo, F. R.; Laroque, P. O.; Jerusalinsky, L.; Valença-Montenegro, M. M.; Martins, A. B.; Ludwig, G.; Azevedo, R. B.; Anzóategui, A.; Silva, M. X.; Moraes, M. F. D.; Vogliotti, A.; Gatti, A.; Püttker, T.; Barros, C. S.; Martins, T. K.; Keuroghlian, A.; Eaton, D. P.; Neves, C. L.; Nardi, M. S.; Braga, C.; Gonçalves, P. R.; Srbek-Araujo, A. C.; Mendes, P.; Oliveira, J. A.; Soares, F. A. M.; Rocha, P. A.; Crawshaw, P. J.; Ribeiro, M. C.; and Galetti, M. 2018. ATLANTIC MAMMAL TRAITS: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology, 99(2): 498."
REF162;Article;"Gonçalves, F.; Hannibal, W.; Godoi, M. N.; Martins, F. I.; Oliveira, R. F.; Figueiredo, V. V.; Casella J.; and Sá, É. F. G. G. 2018. Non-volant mammals from the Upper Paraná River Basin: a data set from a critical region for conservation in Brazil. Ecology, 99(2): 499. "
REF163;Article;"Gonzalez, E. M.; and Fregueiro, G. 1999. Mamiferos no voladores de Laguna del Cisne, departamento de Canelones, Uruguay (Mammalia). Relevamientos de Biodiversidad, 2:1-7."
REF164;Book;"Gonzalez, E. M.; and Martinez-Lanfranco, J. A. 2010. Mamiferos de Uruguay: guia de campo e introduccion a su estudio y conservacion. Banda Oriental, 464. Montevideo. "
REF165;Web site;Gonzalez, S. 2002. Inventory of large mammals at San Miguel National Park. Accessed in  <www.mvotma.gub.uy/documentos/marco-juridico/inventory-of-large-mammals-at-san-miguel-national-park.html>
REF166;Article;"González-Acuña, D.; Rebolledo, P.; Skewes, O.; Moreno, L.; and Castro, D. 2005. Parásitos de la liebre (Lepus Europaeus Pallas, 1778): estudio en dos zonas geográficas de Chile. Parasitol Latinoamericana, 60:174-177. "
REF167;Article;"Gozzi, A. C.; Guichón, M. L.; Benitez, V. V.; and Lareschi, M. 2013. Arthropod parasites of the red-bellied squirrel Callosciurus erythraeus introduced into Argentina. Medical and Veterinary Entomology, 27:203–208."
REF168;Data base ;"Gual, D. M.; Rendon, C. A.; Alamilla, F. L.; Cifuentes, R. P.; and Lozano, R. A. T. 2013. Bosque Mesofilo de Montana de Mexico. Comision Nacional para el Conocimiento y Uso de la Biodiversidad. Base de datos SNIB-CONABIO proyecto Sistema de Informacion del Bosque Mesofilo de Montana en Mexico -Sl-BMM-. Mexico, D. F.  Accessed through GBIF data portal  <https://www.biodiversidad.gob.mx/ecosistemas/pdf/BosquesMesofilos_montana_baja.pdf>"
REF169;Article;"Guinchón, M. L.; Benitez, V. V.; Gozzi, A. C.; Hertziken, M.; and Borgnia, M. 2015. From a lag in vector activity to a constant increase of translocations: invasion of Callosciurus squirrels in Argentina. Biological Invasions, 17 (9): 2597–2604.
"
REF170;Technical document;Hack, R. O. E. 2012. Mastofauna. In: Institutos Lactec (2012). RAS LT 138kV Mandaguari - Sao Pedro do Ivai: 69-73.
REF171;Technical document;Hack, R. O. E. 2014. Mastofauna. In: Institutos Lactec (2014). EIA/RIMA Complexo Eolico-Eletrico (CEE) Campos Gerais: 480-514.
REF172;Technical document;Hack, R. O. E. 2017. Censo, tamanho populacional, composição e classificação sexo-etaria. In: Institutos Lactec (2017). O muriqui-do-sul (Brachyteles arachnoides) como espécie-chave para a conservação da biodiversidade do vale do rio Ribeira de Iguape, Parana. Relatorio tecnico nao publicado: 1-8.
REF173;Technical document;"Hack, R. O. E.; and Santos, J. J. S. 2014. Mastofauna. In: Institutos Lactec (2014). Programa de Monitoramento de Fauna Silvestre da PCH Cavernoso II. "
REF174;Data base ;Halffter Salas, G. 2009. Analisis de las relaciones entre las diversidades alfa, beta y gama a distintos niveles de escala espacial: Procesos historicos y ecologicos que intervienen. V Etapa. Instituto de Ecologia A.C. Bases de datos SNIB-CONABIO proyectos No. EE005, BE012, U030 y K038. Mexico, D.F. Accessed through GBIF data portal http://www.snib.mx/iptconabio/resource?r=SNIB-EE005&v=1.3
REF175;Article;"Heagerty, A.; Wales, R. B.; Prongay, K.; Gottlieb, D. H.; and Coleman, K. 2017. Social hair pulling in captive rhesus macaques (Macaca mulatta). American Journal of Primatology, 79:1-11."
REF176;Article;"Hendges, C. D.; Salvador, C. H.; and Nichele, M. A. 2015. Mamíferos de médio e grande porte de remanescentes de Floresta Estacional Decidual no Parque Estadual Fritz Plaumann e em areas adjacentes, Sul do Brazil. Biotemas, 28:121-134."
REF177;Article;"Hengemuhle, A.; and Cademartori, C. V. 2008. Levantamento de mortes de vertebrados silvestres devido a atropelamento em um trecho da Estrada do Mar (RS-389). Biodiversidade Pampeana, 6 (2):4-10."
REF178;Article;"Henriques, R.; Briani, D.; Palma, A.; and Vieira, E. 2006. A simple graphical model of small mammal succession after fire in the Brazilian cerrado.Mammalia, 70:226-230."
REF179;Article;"Herrera, A. H.; Manríquez, M. T.; Muñoz, R.; Anderson, C. B.; and Pastur, G. M. 2017. Potencial presencia del castor norteamericano en el Parque Nacional Cabo de Hornos. Anales del Instituto de la Patagonia (Chile), 45:67-71.
"
REF180;Article;"Herrero, J.; and Fernandez de Luco, D. 2003. Wild boars (Sus scrofa L.) in Uruguay: scavengers or predators? Mammalia, 67 (4):485-491."
REF181;Article;"Hofmann, G. S.; Coelho, I. P.; Bastazini, V. A. G.; Cordeiro, J. L. P.; and Oliveira, L. F. B. 2016. Implications of climatic seasonality on activity patterns and resource use by sympatric peccaries in northern Pantanal. International Journal of Biometeorology, 60:421-433. "
REF182;Article;Hubrecht, R. C. 1985. Home-range size and use and territorial behavior in the common marmoset, Callithrix jacchus jacchus, at the Tapacura Field Station, Recife, Brazil. International Journal of Primatology, 6:533-550.
REF183;Technical document;IBAMA. 2005. Parque Nacional da Serra da Canastra. Plano de Manejo de 2005. 
REF184;Technical document;ICMBio. 2009. Plano de Manejo, Floresta Nacional de Passa Quatro, Minas Gerais: Diagnostico. 
REF185;Web site;Illinois State University, ISU Mammals. Accessed through GBIF data portal <http://data.gbif.org/datasets/resource/14194, 2012-12-04>
REF186;web site;Instituto de Investigacion de Recursos Biologicos Alexander von Humboldt (2014). Fauna invasora en el territorio continental e insular colombiano. 4100 registros, aportados por: Baptiste, M. (Contacto del recurso), De la cruz Godoy, J. (Creador del recurso, Proveedor de metadatos). Version 3.0. Accessed  in <http://i2d.humboldt.org.co/ceiba/resource.do?r=fauna-invasora_is_2014>
REF187;Article;"Iriarte, J. A.; Johnson, W. E.; and William, L. F. 1991. Feeding ecology of the Patagonia puma in southrnmost Chile. Revista Chilena de Historia Natural, 64:145-156."
REF188;Thesis;ISLAS, C. A. 2013. Identificação da mastofauna de médio e grande porte e suas relações com moradores no entorno da UFPel, Capao do Leao, RS. Universidade Federal de Pelotas.
REF189;Article;Jaksic, F. M. 1998. Vertebrate invaders and their ecological impacts in Chile. Biodiversity and Conservation, 7:1427-1445. 
REF190;Article;"Jaksic, F. M.; Iriarte, J. A.; Jiménez, J. E.; and Martínez, D. R. 2002. Invaders without frontiers: cross-border invasions of exotic mammals. Biological Invasions, 4:157–173."
REF191;Article;"Jaksic, F. M.; Yánez, J. L.; and Rau, J. R. 1983. Trophic relations of the southernmost populations of Dusicyon in Chile. Journal of Mammalogy, 64:693–697."
REF192;Data base ;James, R. Slater Museum of Natural History, Terrestrial vertebrates. Accessed through GBIF data portal <http://data.gbif.org/datasets/resource/1465, 2012-12-04>
REF193;Article;"Jessen, R. R.; Merrick, M. J.; Koprowski, J. L.; and Ramirez, O. 2010. Presence of Guayaquil squirrels on the central coast of Peru: an apparent introduction. Mammalia, 74 (4): 443–444.
"
REF194;Data base ;"Jimenez Guzman, A.; Nino Ramirez, J. A.; and Ramos, M. A. Z. 1998. Mamiferos de Nuevo Leon: distribucion y taxonomia. Universidad Autonoma de Nuevo Leon. Facultad de Ciencias Biologicas. Bases de datos SNIB-CONABIO. Proyecto No. P008. Mexico, D.F. Accessed through GBIF data portal <http://www.conabio.gob.mx/institucion/proyectos/resultados/P008/metadatos/SNIB-P008-metadato.pdf>"
REF195;Web site;"Jimenez-Romero, G. L.; and Echeverri-Lopez, D. 2018. Modelo de distribucion de Hippopotamus amphibius ID FIN-346. Laboratorio de Biogeografia Aplicada. Instituto Alexander von Humboldt. Accessed in <http://biomodelos.humboldt.org.co/species/visor?species_id=7233.>"
REF196;Thesis;Juarez, K. M. 2008. Mamíferos de médio e grande porte nas Unidades de conservação do Distrito Federal. Universidade de Brazilia. 
REF197;Article;"Junior, V. E.; and Leite, Y. 2007. Uso de habitats por pequenos mamíferos no Parque Estadual da Fonte Grande, Vitoria, Espírito Santo, Brazil. Boletim do Museu de Biologia Mello Leitão, 21:57-77."
REF198;Thesis;Kaizer, M. C. 2013. Diagnóstico da invasão de javalis asselvajados (Sus scrofa Linnaeus, 1758) na região de Tombos-MG. Universidade Federal de Lavras.
REF199;Article;"Kaizer, M. C.; Novaes, C. M.; and Faria, M. B. 2014. Wild boar Sus scrofa (Cetarctiodactyla, Suidae) in fragments of the Atlantic forest, shoutheastern Brazil: New records and potential environmental impacts. Mastozoologia Neotropical, 21 (2):343-347."
REF200;Article;"Kajdacsi, B.; Costa, F.; Hyseni, C.; Porter, F.; Brown, J.; Rodrigues, G.; Farias, H.; Reis, M. G.; Childs, J. E.; KO, A. I.; and Caccone, A. 2013. Urban population genetics of slum-dwelling rats (Rattus norvegicus) in Salvador, Brazil. Molecular Ecology, 22:5056-5070."
REF201;Article;"Kasper, T.; Haberzettl, T.; Doberschütz, S.; and Daut, G. 2012. Indian Ocean Summer Monsoon (IOSM)-dynamics within the past 4 ka recorded in the sediments of Lake Nam Co, central Tibetan Plateau (China). Quaternary Science Reviews, 39:73-85 ·"
REF202;Article;"Kleiman, F.; González, N.; Rubel, D.; and Wisniveksy, C. 2004. Fasciola hepatica (Linnaeus, 1758)(Trematoda, Digenea) en liebres europeas (Lepus europaeus, Pallas 1778)(Lagomorpha, Leporidae) en la región Cordillerana Patagónica, Chubut, Argentina. Parasitología latinoamericana, 59 (1-2):68-71."
REF203;Article;"Koomen, R.; Herrmann, E. 2018. The effects of social context and food abundance on chimpanzee feeding competition. American Journal of Primatology, 80:1-9."
REF204;Article;"Kufner, M. B., Sepúlveda, L.; Gavier, G.; Madoery, L.; and Giraudo, L. 2008. Is the native deer Mazama gouazoubira threatened by competition for food with the exotic hare Lepus europaeus in the degraded Chaco in Córdoba, Argentina? Journal of Arid Environments, 72 (12):2159-2167."
REF205;Technical document;Lactec. 2016. Elaboração de Metodologia de Suprimento de Energia Eletrica a Sistemas Isolados no Pantanal Sul-Matogrossense. Etapa 4 (Avaliacao Ambiental). Entrega (Relatório final) meio fisico, biotico, socioeconomico.
REF206;Article;"Lantschner, M. V.; Rusch, V.; and Hayes, J. P. 2013. Do exotic pine plantations favour the spread of invasive herbivorous mammals in Patagonia? Austral Ecology,38: 338–345."
REF207;Article;"Lavergne, A.; Thoisy, B.; Tirera, S.; and Donato, D. 2016. Identification of lymphocytic choriomeningitis mammarenavirus in house mouse (Mus musculus, Rodentia) in French Guiana. Infection, Genetics and Evolution, 37:225-230."
REF208;Article;"Lazaro-Perea, C.; Castro, C. S.; Harrison, R.; Araujo, A.; Arruda, M. F.; and Snowdon, C. T. 2000. Behavioral and demographic changes following the loss of the breeding female in cooperatively breeding marmosets. Behavioral Ecology and Sociobiology, 48 (2):137-146."
REF209;Data base ;Leon Cortes, J. L. 2005. Patrones de diversidad floristica y faunistica del area focal Ixcan, selva Lacandona, Chiapas. El Colegio de la Frontera Sur. Unidad San Cristobal de las Casas. Bases de datos SNIB-CONABIO. Mamiferos. Proyecto No. Y036. Mexico, D.F. Accessed through GBIF data portal <http://www.conabio.gob.mx/institucion/cgi-bin/datos.cgi?Letras=Y&Numero=36>
REF210;Data base ;Leon, P. L. y V.Z.A. Avila. 2012. Actualizacion de la base de datos de la Coleccion de mamiferos del Museo de Zoologia Alfonso L. Herrera. Universidad Nacional Autonoma de Mexico. Facultad de Ciencias. Bases de datos SNIB-CONABIO, proyectos EC010, M099_Mamiferos, J123_Mamiferos, H160, B002_Mamiferos. Mexico D. F. Accessed through GBIF data portal <clarify.infocenter.support>
REF211;Article;"Lessa, I. C. M.; Bergallo, H. G. 2012. Modeling the control of adomestic cat population: an example from an Island in Brazil.Brazilian Journal Biology, 72:445-452."
REF212;Article;"Liao, Z.; Sosa, S.; Wu, C.; and Zhang, P. 2017. The influence of age on wild rhesus macaques' affiliative social interactions. American Journal of Primatology, 80:1-10.

"
REF213;Article;"Lima, F.; Beca, G.; Muylaert, R. L.; Jenkins, C. N.; Perilli, M. L. L.; Paschoal, A. M. O.; Massara, R. L.; Paglia, A. P.; Chiarello, A. G.; Graipel, M. E.; Cherem, J. J.; Regolin, A. L.; Santos, L. G. R. O.; Brocardo, C. R.; Paviolo, A.; Di Bitetti, M. S.; Scoss, L. M.; Rocha, F. L.; Fusco?Costa, R.; Rosa, C. A.; Silva, M. X.; Hufnagell, L.; Santos, P. M.; Duarte, G. T.; Guimarães, L. N.; Bailey, L. L.; Rodrigues, F. H. G.; Cunha, H. M.; Fantacini, F. M.; Batista, G. O.; Bogoni, J. A.; Tortato, M. A.; Luiz, M. R.; Peroni, N.; Castilho, P. V.; Maccarini, T. B.; Picinatto Filho, V.; Angelo, C.; Cruz, P.; Quiroga, V.; Iezzi, M. E.; Varela, D.; Cavalcanti, S. M. C.;  Alexandre C. Martensen, A. C.; Maggiorini, E. V.; Keesen, F. F.; Nunes, A. V.; Lessa, G. M.; Cordeiro?Estrela, P.; Beltrão, M. G.; Albuquerque, A. C.F.; Ingberman, B.; Cassano, C. R.;  and Cullen Junior, L.  2017. ATLANTIC-CAMTRAPS: a dataset of medium and large terrestrial mammal communities in the Atlantic Forest of South America. Ecology, 98:2979-2979."
REF214;Technical document;Lleellish, M., R. Cadenillas, and G. Chipana. 2007. Presencia de la liebre europea Lepus europaeus en el departamento de Tacna. Serie de publicaciones de flora y fauna silvestre. Instituto Nacional de Recursos Naturales. Lima, Perú.
REF215;Data base ;"Lopez Gonzalez, C.; and Perez, H. S. E. 2004. Peces y Mamiferos de la region de Norogachi, Alta Sierra Tarahumara, Chihuahua. Instituto Politecnico Nacional. Centro Interdisciplinario de Investigacion para el Desarrollo Integral Regional-Durango. Bases de datos SNIB-CONABIO. Proyecto No. X011. Mexico, D.F. Accessed through GBIF data portal <http://www.conabio.gob.mx/institucion/proyectos/resultados/X011_Base%20de%20datos_mamiferos_peces.pdf>"
REF216;Data base ;Lopez Wilchis, R. 1998. Base de datos de mamiferos de Mexico depositados en colecciones de Estados Unidos y Canada. Universidad Autonoma Metropolitana. Unidad Iztapalapa. Bases de datos SNIB-CONABIO. Proyecto No. P130. Mexico, D.F. Accessed through GBIF data portal <http://www.conabio.gob.mx/institucion/cgi-bin/datos.cgi?Letras=P&Numero=130>
REF217;Article;"Lopez, E. H.; and Chacon, J. 2013. Nuevo registro de Myrmecophaga tridactyla para el departamento de Cordoba, Colombia con anotaciones sobre comportamiento agonistico interespecifico. Revista Colombiana de Ciencia Animal, 5 (2):422-426."
REF218;Article;"López-Cortéz, F.; Cortés, A.; Miranda, E.; Rau, J. R. 2007. Dietas de Abrothrix andinus, Phyllotis xanthopygus (Rodentia) y Lepus europaeus (Lagomorpha) em um ambiente altoandino de Chile. Revista Chilena de Historia Natural, 80:3-12."
REF219;Data base ;"Lorenzo-Monterrubio, A. M. C.; Bolanos Citalan, J. E.; and Torres, F. B. 2005. Actualizacion de la base de datos de la coleccion mastozoologica de El Colegio de la Frontera Sur, San Cristobal de las Casas. El Colegio de la Frontera Sur. Unidad San Cristobal de las Casas. Bases de datos SNIB-CONABIO proyecto No. AA003. Mexico, D.F. Accessed through GBIF data portal <http://www.conabio.gob.mx/institucion/proyectos/resultados/AA003_CARATULA%20BASE%20DE%20DATOS.pdf>"
REF220;Data base ;Louisiana State University Museum of Natural Science, Mammal specimens. Accessed through GBIF data portal <http://data.gbif.org/datasets/resource/559, 2012-12-04>
REF221;Article;"Lyra-Neves, R. M.; Oliveira, M. A. B.; Telino-Júnior, W. R.; and Santos, E. M. 2007. Comportamentos interespecíficos entre Callithrix jacchus (Linnaeus) (Primates, Callitrichidae) e algumas aves de Mata Atlântica, Pernambuco, Brazil. Revista Brazileira de Zoologia, 24:709-716."
